gene_name,cell_type,region1,region2,ttest_p,wilcoxon_p,ks_p
1500009C09Rik,Granule,0,1,6.667519018148967e-08,0.030463531571627817,0.07810107465155189
2610203C20Rik,Astrocytes,1,2,3.7308284983667608e-06,0.04177894181201202,0.10218502722263795
Ablim2,Astrocytes,1,2,5.254027636372543e-08,0.02683566121548724,0.020628730145703943
Abr,Granule,0,1,4.460709388811331e-07,0.11222596438162188,0.35802922529319403
Actb,Astrocytes,0,1,3.503136955888823e-10,1.188405747883918e-09,8.937094296270367e-12
Actb,Astrocytes,1,2,7.912657194594952e-07,1.0932158446490202e-07,2.0289674453095216e-11
Adgrl3,Granule,0,1,8.900591083602642e-07,0.14889400764871913,0.40547473772096454
Aldoc,Astrocytes,0,1,5.318914177815598e-21,3.3171655258187134e-19,1.5469384610425806e-18
Aldoc,Astrocytes,1,2,4.394639917468826e-14,2.013684084589707e-12,1.237975192787106e-12
Aldoc,Granule,0,1,8.802692788596046e-41,1.9152414047248379e-22,1.952842756389036e-23
Aldoc,Granule,1,2,2.2194861658624252e-08,1.3788595243739232e-08,4.6928254135087015e-09
Aldoc,MLI1,1,3,9.750348459756591e-14,1.0025363532831838e-10,2.2038570454338083e-11
Anks1b,Oligodendrocytes,0,2,3.645828624533021e-06,0.00461161284358118,0.007458407673338473
Apod,Oligodendrocytes,0,2,1.4794776091084365e-06,7.673745482301753e-06,4.5725549248678826e-07
Apoe,Astrocytes,0,2,2.314563820190317e-08,8.810982211859036e-08,3.830615850462738e-08
Arap2,Granule,0,1,1.8923772506784323e-07,0.16018180176547603,0.4928876552608153
Atl2,Granule,0,1,1.135183722153042e-06,0.08924038730314116,0.2720692368630905
Atp1a1,Oligodendrocytes,0,2,3.5334138354568004e-06,0.007932604162968893,0.01712314800852844
Atp1b1,Astrocytes,0,1,2.962752023067628e-09,5.629154818389906e-07,6.526962470955512e-08
Atp1b1,Astrocytes,1,2,2.8735191727945236e-10,4.454293979068654e-08,1.9652130251985533e-09
Atp1b1,Granule,0,1,1.9035439821796516e-06,8.675573332591794e-05,2.855545316309617e-05
Atp2a2,Astrocytes,0,1,2.4396010049214157e-06,0.0008528887192340533,0.0014578906042378669
Atp2a2,Granule,0,1,8.972025044121005e-09,0.00028103964894019424,0.00013786081081966115
Atp5b,Granule,0,1,3.847268895311668e-06,2.1207956137682804e-05,1.3556128550836964e-05
Atrx,Purkinje,0,1,4.89760763653553e-07,0.005688134591430905,0.0036674690010674487
Calb1,Astrocytes,0,1,3.599474153266228e-17,3.0257134824565527e-10,5.615649744452456e-12
Calb1,Granule,0,1,2.479405656041053e-84,3.990351911986572e-09,2.6754409946456e-10
Calm1,Astrocytes,1,2,1.8789519146337724e-14,9.546112227425702e-13,6.384618683533144e-16
Calm1,Oligodendrocytes,0,2,3.467386001288258e-09,1.9170964111652437e-08,2.8094868882411248e-11
Calm2,Astrocytes,0,2,1.6810056347798234e-09,7.216449463842259e-06,5.8644278026994205e-06
Calm2,Astrocytes,1,2,3.6110776183794336e-18,8.879537731736768e-13,1.2396445221696334e-14
Car8,Astrocytes,0,1,1.915536189638232e-22,4.302789416932335e-14,7.378024855936703e-17
Car8,Granule,0,1,8.219462650079886e-62,1.5131935272345582e-09,4.994407920054134e-11
Chchd2,Astrocytes,0,1,8.18681047623987e-08,7.177457375667208e-05,5.72866316282941e-05
Ckb,Astrocytes,0,1,8.823972221236004e-20,5.229105693715778e-18,7.312788632402768e-17
Ckb,Astrocytes,1,2,1.1247499833730383e-20,2.0484281011116366e-17,5.131914072044384e-22
Ckb,MLI1,1,3,1.4245341722965829e-08,9.296989521466025e-08,3.984542759746565e-06
Cntn1,Astrocytes,1,2,3.5144840078612366e-07,0.015420125312993273,0.012536927901972441
Cpsf3,Granule,0,1,3.979682034889247e-06,0.20598302686996262,0.5783851993984566
Cst3,Astrocytes,0,2,3.1379664861129633e-06,0.00021731430550428233,1.3780897514621422e-05
Cst3,Granule,0,1,3.5003791527275574e-06,4.151253397688678e-06,2.1577940996393034e-07
Ctnnd2,Astrocytes,0,1,3.032220367837398e-06,0.0061144986152438215,0.010896848121265172
Dbi,Astrocytes,0,1,1.3856860493790005e-06,3.7411305116146847e-07,4.003458069641826e-11
Ddah1,Granule,0,1,3.921687849480678e-06,0.18702001909920973,0.5783851993984566
Dner,Granule,0,1,3.5733901760969514e-16,0.0019978348927422044,0.0023205366423695805
Etnppl,Granule,0,1,1.8199105218147674e-08,0.044878755802684855,0.095698419358022
Fam107a,Astrocytes,0,1,1.7989342017179174e-09,1.693216976964597e-07,1.9634815086602777e-08
Fam107a,Granule,0,1,1.3835275023952203e-19,0.00025960015279527537,0.0002177098670441845
Fam107b,Granule,0,1,1.2681202429044757e-06,0.06771327176495569,0.19926345653480307
Fam21,Granule,0,1,3.6580508955766253e-09,0.0010841833970057172,0.0007801179129409821
Farp1,Astrocytes,1,2,1.0826066047832065e-06,0.01749754934617446,0.021134817557371927
Fry,Astrocytes,0,1,7.48302422722338e-10,7.935902760763047e-05,6.870444521672335e-05
Fth1,Astrocytes,0,1,7.527963349782777e-07,7.640421679412877e-05,3.167569008164738e-05
Fth1,Astrocytes,0,2,4.0893661398989097e-20,4.853121368997526e-18,3.870060773646886e-17
Fth1,Astrocytes,1,2,1.1244384586492856e-45,2.321228405079915e-32,3.596964001595576e-36
Fth1,Granule,0,2,2.3798282709570674e-09,3.264017341221471e-05,1.719715281931467e-06
Fth1,Granule,1,2,1.0823260364371029e-10,3.7660945736970932e-06,7.362342033612457e-07
Fth1,Oligodendrocytes,0,2,4.81765479879022e-19,1.0464288374896128e-20,4.868067280267868e-16
Fth1,Oligodendrocytes,1,2,6.801478549144257e-08,1.0358062912199084e-08,3.4052081081761827e-10
Fxyd1,Astrocytes,0,1,2.6263690768985804e-06,0.0005616050842995762,0.0004557302507544131
Fxyd1,Granule,0,1,1.1477811134724839e-07,0.08038104039517267,0.23188499656611822
Gad1,Granule,0,1,4.664361979421354e-10,0.014683793357808709,0.03341919461733692
Gdf10,Granule,0,1,1.3371499027283654e-18,0.2782529033106803,0.8085849166192907
Gm3764,Astrocytes,0,1,1.5994184094000997e-07,0.00013126719826746775,0.0001909628876444666
Gm3764,Astrocytes,1,2,2.0793168391732393e-08,0.0012767207571214656,0.0004005136254552379
Gnas,Astrocytes,0,1,1.3587519058443124e-06,4.289049469544409e-06,2.7188772142607736e-06
Gnas,Astrocytes,1,2,1.5410134484364859e-09,2.5075166601303865e-09,1.9974121562753396e-12
Gng13,Astrocytes,0,1,8.801373159648288e-11,3.818380788658316e-05,2.82918780407459e-05
Gng13,Granule,0,1,2.489302732352203e-19,5.9171157867351576e-05,2.801593206450636e-05
Gpm6a,Oligodendrocytes,0,2,6.605345608066459e-09,0.0008844399398125121,0.0009460611807157495
Gpr37l1,Astrocytes,0,1,3.1802783055751433e-21,3.688316540255069e-15,8.511963472707872e-17
Gpr37l1,Astrocytes,1,2,2.244353636264149e-14,5.437970714809674e-13,2.83595951533036e-17
Gpr37l1,Granule,0,1,1.2566898831608633e-14,0.0003180856880116602,0.0002613399060101617
Gria1,Granule,0,1,7.529819197957439e-28,0.017217217833231872,0.0387539868490907
Grid2,Granule,0,1,7.778284129085735e-10,0.000196357588385723,0.00016006668005240688
Homer3,Granule,0,1,1.431108161236106e-29,0.023038439377739594,0.061099788834391676
Hopx,Astrocytes,0,1,3.2402503715295993e-10,2.2500214626931446e-05,1.1220133417536135e-05
Hopx,Granule,0,1,3.7250798390265193e-19,0.0018337061071903142,0.002716015280205698
Hsp90ab1,Astrocytes,1,2,6.466926768079544e-08,5.324016178963404e-07,1.8233711342336188e-08
Icmt,Granule,0,1,1.2754066835833238e-09,0.12048346429518124,0.36109524248561814
Id2,Granule,0,1,5.932872892758285e-08,0.008979489744492886,0.018033687469384076
Id4,Astrocytes,0,1,1.2783286113200942e-08,5.448421930369456e-05,1.7223697572530112e-05
Id4,Granule,0,1,2.332670613120037e-08,0.05866762902190875,0.16278365639491427
Itm2b,Astrocytes,0,1,1.7901479716850225e-09,2.6233827933607225e-08,1.9612540468858925e-08
Itm2b,Astrocytes,1,2,5.164750226515308e-14,8.389936672355144e-13,6.9152060692935274e-18
Itpr1,Astrocytes,0,1,1.0495378621636445e-17,8.97523374469946e-11,1.4111761174614974e-12
Itpr1,Granule,0,1,4.509437519337679e-40,6.700929188542027e-07,9.540814973678343e-08
Kcnip1,Granule,0,1,3.1715273011047703e-07,0.23625283601946268,0.69025972089553
Kcnip4,Granule,0,1,1.4340334501637363e-06,1.2926068424215934e-05,3.4306120546380374e-06
Kctd12,Granule,0,1,8.825615169299704e-10,0.11024833343671966,0.34225540280919986
Kif5b,Granule,0,1,1.8957554694405546e-07,0.0005630741785796696,0.0005213566961610764
Lamp1,Astrocytes,0,1,7.544501551231132e-07,0.0002275879964128889,0.00011330110261931535
Ldhb,Astrocytes,0,1,4.2444650443725634e-07,6.006387941798188e-06,5.332819409378795e-07
Lsamp,Astrocytes,0,1,5.604629139751556e-14,5.768361608272578e-09,4.793955661145718e-11
Lsamp,Astrocytes,1,2,1.8937501917762274e-10,5.683331480796117e-05,3.8834022273760773e-07
Macf1,Astrocytes,0,1,3.4147262292869146e-07,0.0005443194500051235,0.0004864473019353249
Macf1,Astrocytes,1,2,3.0526481756745054e-08,0.002074834065507731,0.002845315679409968
Malat1,Astrocytes,0,1,2.3001473813633284e-29,1.3081952150725785e-26,1.6836568271485013e-24
Malat1,Astrocytes,1,2,5.608516855802003e-27,2.6891361749817266e-24,5.365767679776908e-28
Maob,Granule,0,1,3.8683870125823783e-07,0.3487027456270927,0.9204755779361903
Mbp,Astrocytes,0,1,2.7804144799341312e-09,1.2396039206030832e-05,6.428941149068065e-06
Mbp,Astrocytes,0,2,3.2154553479877295e-15,7.970499241706795e-12,3.748736923557752e-14
Mbp,Astrocytes,1,2,3.537332365510312e-41,8.477625422530298e-24,7.445713793696999e-29
Mbp,Granule,0,2,6.85626351061075e-08,0.005111987444166739,0.003782730223844861
Mbp,Granule,1,2,2.8160149756240933e-09,0.002217252632754895,0.0006765437676669989
Mbp,Oligodendrocytes,0,2,2.2688941683793376e-20,4.40707626998744e-22,3.381920270659417e-19
Mdh1,Astrocytes,1,2,3.6502508124284184e-07,3.9055886712038963e-07,7.405579378959193e-09
Meg3,Oligodendrocytes,0,2,3.831503248839372e-09,9.928389755624458e-05,3.7917517454343415e-05
Mir99ahg,Astrocytes,1,2,5.465796295216774e-07,0.028799454600622935,0.06910186814346773
Mobp,Astrocytes,0,2,2.4635000076565114e-06,0.0008047869339664561,0.000680376738829958
Mobp,Astrocytes,1,2,5.143611437870451e-16,8.466512652601749e-07,4.500275440551953e-08
Mobp,Granule,0,2,2.2963352162841027e-08,0.027777824160588986,0.05841511425254882
Mobp,Granule,1,2,1.2092537008305834e-08,0.020369597298348877,0.035693579636519875
Mtss1,Granule,0,1,8.284728977616745e-08,0.023167095431849576,0.05580013636385649
Mybpc1,Granule,0,1,2.60541475277389e-09,0.2741151278951116,0.7753614275661105
Ndrg2,Astrocytes,0,1,1.683473169967835e-07,3.5178460049753387e-07,1.1286978263473724e-07
Ndrg2,Granule,0,1,3.3623676247947825e-07,8.138590843266368e-06,8.212427509309778e-07
Neat1,Astrocytes,1,2,2.5864602097628534e-08,0.00555241328828642,0.012219654280653355
Nfasc,Astrocytes,0,1,3.541967335636106e-06,0.003788055709457463,0.006441600218722479
Nfasc,Astrocytes,1,2,1.0488249755660434e-07,0.009214193307594565,0.015624852308386042
Nrxn1,Oligodendrocytes,0,2,7.244762791289703e-11,0.00017121924054693075,0.00012290527309967108
Nsg1,Astrocytes,0,1,2.640170781302172e-13,4.139938655399947e-08,3.2332057379155784e-09
Nsg1,Granule,0,1,5.515979634667617e-29,4.2930819227130907e-10,1.3373255586194798e-11
Ntm,Astrocytes,0,1,1.8200959563393677e-06,0.0014239550602110286,0.0006500398044785722
Pcp2,Astrocytes,0,1,3.981654643284189e-16,5.940959621089513e-11,1.7990966156278847e-12
Pcp2,Astrocytes,1,2,2.4775388748886966e-10,1.7651360003858105e-08,1.6047544460245565e-10
Pcp2,Granule,0,1,1.3411273505480115e-46,5.5923757403443934e-12,3.9932291766543283e-14
Pcp4,Astrocytes,0,1,8.804942773468457e-32,5.267740206904478e-24,3.2087463131823585e-27
Pcp4,Granule,0,1,2.6566463433780066e-76,5.378089247177764e-21,3.161371132954576e-25
Pcp4,MLI1,1,3,6.363951971859806e-08,2.4048007219366825e-07,1.8750624433205158e-07
Pla2g7,Granule,0,1,3.401773681107076e-08,0.00012073715224262349,6.536756839742155e-05
Plp1,Astrocytes,0,2,2.4659489839837058e-08,1.0238064729888071e-05,6.365873271624963e-07
Plp1,Astrocytes,1,2,4.0629929332761353e-22,4.9620684721201987e-11,1.1958050274869199e-13
Ppap2b,Astrocytes,0,1,6.430153286772957e-09,1.3875518887908577e-06,4.05715800233951e-08
Ppap2b,Granule,0,1,6.503579957520987e-14,0.0019731782055953133,0.0024390007562201783
Ppp1r17,Granule,0,1,5.1289521289699166e-36,0.0008236284697388132,0.0008938205693532151
Ppp3ca,Oligodendrocytes,0,2,6.301050251200895e-07,0.00018232399242527696,0.00011516005966452647
Prex2,Granule,0,1,2.126413893417687e-06,0.15402066715542093,0.4701699857900047
Prkcg,Granule,0,1,9.263593717029697e-16,0.17850061411381757,0.5581126619057263
Ptprz1,Granule,0,1,8.098221185164001e-09,0.0270479795122696,0.06991672916552807
Pvalb,Astrocytes,0,1,2.8987187007754823e-18,5.501970545481264e-13,2.252140437373616e-15
Pvalb,Granule,0,1,2.695542182073269e-38,6.361693215198195e-11,4.942282502574343e-13
Rab6b,Granule,0,3,1.264467295673678e-06,0.00850337352437771,0.008754909195558635
Rab6b,Granule,1,3,8.409739498868692e-07,0.011666543562574757,0.00511917755103607
Rgs8,Granule,0,1,1.1682985894444985e-09,0.002612185833577037,0.005727198313883802
Rn18s-rs5,Granule,0,1,1.0320463739335688e-06,0.05331204328384384,0.10625441238792985
Rora,Astrocytes,0,1,3.756344375774658e-06,0.0028107061533280482,0.0006294916798434783
Rtn1,Oligodendrocytes,0,2,6.567107105038244e-07,0.004417639637802701,0.007643142716692395
Scg3,Astrocytes,1,2,1.1535890882370114e-08,3.9055886712038963e-07,2.80189378582638e-08
Sept4,Astrocytes,0,1,3.605328210157434e-15,1.0477463903820996e-11,5.778331114340687e-14
Sept4,Astrocytes,1,2,1.684670557244044e-13,8.915964998203042e-11,1.8988540041893707e-13
Sept4,Granule,0,1,2.268001727299891e-19,4.752449411469914e-07,1.5210673382663717e-07
Sept4,MLI1,1,3,4.074927126746077e-06,0.00034019654338795325,0.0004078374954620914
Sept7,Granule,0,1,3.112768224419397e-09,2.9510506930346902e-05,1.0975970497645213e-05
Serinc1,Astrocytes,1,2,5.872153662996199e-07,8.87391693235235e-06,6.286824966982644e-07
Slc1a3,Astrocytes,0,1,1.0229530455062026e-28,6.503557871325021e-23,2.0647473737556117e-24
Slc1a3,Astrocytes,1,2,5.108189213453372e-24,2.0365345487750945e-20,1.7533517949404375e-24
Slc1a3,Granule,0,1,1.5904647879247914e-45,6.16856380113703e-11,8.045236902563936e-13
Slc1a3,MLI1,1,3,3.046701159648132e-10,7.355287555220052e-08,4.062656976534237e-09
Slc1a3,Oligodendrocytes,0,1,1.0194813948239447e-11,0.001565779871082061,0.0016789298132399615
Slc1a3,Oligodendrocytes,1,2,2.5083394016190946e-08,0.0014319590091334496,0.0010832127971922283
Slc1a6,Granule,0,1,1.955343573766125e-14,0.10022295351171771,0.30917115063664313
Snap25,Astrocytes,0,2,8.819670622747864e-14,9.612896834569383e-12,4.494013273934078e-15
Snap25,Astrocytes,1,2,1.1471183397469035e-08,1.561128928797013e-07,2.5036645892201358e-09
Snap25,Oligodendrocytes,0,2,4.7817078294908675e-25,1.6120135907359825e-14,8.884052698236841e-18
Sned1,Astrocytes,1,2,3.9598411874384255e-09,0.00500301813540166,0.0039967800298085455
Snhg11,Granule,1,2,2.1799172243962942e-09,0.00026394129934141983,2.3184195490759198e-05
Snhg11,Oligodendrocytes,0,2,4.720134296189922e-09,0.0008258393343344054,0.0006832426991467294
Sod1,Astrocytes,0,1,4.137588198635086e-06,0.0006262131584224882,0.0007380167148883936
Sparc,Astrocytes,1,2,4.269166610545792e-07,1.2432983792644208e-06,9.856654214020937e-08
Sparc,Granule,0,1,2.673371832171267e-07,0.00015871903006932505,0.00010096261268556241
Sparcl1,Astrocytes,0,1,3.2311401226957386e-31,2.896375207278762e-27,3.7454582384428516e-24
Sparcl1,Astrocytes,0,3,4.928127755729131e-15,3.829966085642795e-10,1.5716670291029955e-10
Sparcl1,Astrocytes,1,2,9.59064194214145e-14,6.3212424747915946e-12,6.53503582263051e-11
Sparcl1,Astrocytes,2,3,2.1732968563525322e-08,2.6364570727993174e-07,2.0017115485954097e-06
Sparcl1,Granule,0,1,1.4469335059259476e-16,4.6122823535753266e-12,2.2975989361772157e-14
Sparcl1,MLI1,1,3,1.8381224574611371e-10,2.3369878982854928e-09,5.321721540256859e-10
Stmn2,Oligodendrocytes,0,2,3.056906486198083e-09,0.00016780224249555637,0.00010885882673247724
Stxbp1,Oligodendrocytes,0,2,5.396031525898462e-10,0.0010264920637543487,0.0010694227030976977
Syne1,Astrocytes,0,1,8.34281482689558e-08,0.00034934530950968463,0.0006294916798434783
Thy1,Granule,0,1,3.713722793399623e-18,8.238104226876238e-05,4.658174086934624e-05
Timp4,Astrocytes,0,1,2.4085211389744726e-09,8.693166896978603e-06,2.9573971315397405e-06
Timp4,Astrocytes,1,2,9.05425560097554e-09,3.570045931547539e-06,4.0670317615028206e-07
Timp4,Granule,0,1,2.7060255765357403e-19,0.00458881226535096,0.007741906742109389
Trf,Astrocytes,0,1,2.87457224868748e-06,0.004324617889685613,0.005474859659664154
Trpm3,Astrocytes,0,1,6.423657699037114e-07,0.0013582880042067261,0.004908597857988676
Tspan3,Astrocytes,0,1,2.0842820134044338e-07,5.631910670621789e-05,2.829184917202555e-05
Tubb2b,Granule,0,1,5.2738503612179474e-08,0.25088789070049633,0.7316097326434863
Ubb,Astrocytes,1,2,5.235166643857972e-08,3.409409773758733e-06,1.7924373853382368e-07
Vim,Granule,0,1,4.3723284016524665e-08,0.08216688588846197,0.24858631931786052
Vimp,Granule,0,1,5.261538465859208e-10,0.033857089311384786,0.08222930028305148
Ywhah,Astrocytes,0,1,1.9511173262167295e-09,9.404375451633207e-05,8.526466816683934e-05
Ywhah,Granule,0,1,2.0927428926313143e-09,0.0006573401632041237,0.0006163881840246678
Zbtb20,Astrocytes,1,2,8.418958443411132e-10,0.0005571137905716766,7.357072647530454e-05
Zic1,Oligodendrocytes,0,2,1.3956843999962591e-09,7.876874520844262e-05,3.86343818909709e-05
mt-Cytb,Astrocytes,0,2,2.1595701893842994e-07,2.2303137962694407e-07,9.250755048237913e-09
mt-Cytb,Astrocytes,1,2,5.160143396209155e-15,2.890795323759666e-14,1.0867613960655253e-17
mt-Cytb,Oligodendrocytes,0,2,1.600353350468817e-08,1.3249002962276644e-08,6.439600815195304e-12
mt-Nd1,Astrocytes,0,2,8.599102676292834e-08,2.3035105436777602e-07,5.1171361753837394e-09
mt-Nd1,Astrocytes,1,2,1.6248060657346495e-14,5.006426159322662e-13,4.763377809319385e-16
mt-Nd4,Astrocytes,0,3,7.877446870513404e-07,4.612405241796749e-05,3.446028202839471e-05
mt-Nd4,Astrocytes,1,2,3.8972465664510526e-10,4.99098412537044e-11,2.7915244147510626e-16
mt-Nd4,Astrocytes,2,3,5.702550997561512e-10,1.8920854428795048e-06,1.2761407739312866e-08
mt-Nd4,Oligodendrocytes,0,2,6.12466772876492e-08,6.664795277009012e-08,1.5542223808276346e-10
